time,nb dead,nb package
1000,0,300
2000,0,300
3000,0,300
4000,0,300
5000,0,300
6000,0,300
7000,0,300
8000,0,300
9000,0,300
10000,0,300
11000,0,300
12000,0,300
13000,0,300
14000,0,300
15000,0,300
16000,0,300
17000,0,300
18000,0,300
19000,0,300
20000,0,300
21000,0,300
22000,0,300
23000,0,300
24000,0,300
25000,0,300
26000,0,300
27000,0,300
28000,0,300
29000,0,300
30000,0,300
31000,0,300
32000,0,300
33000,0,300
34000,0,300
35000,0,300
36000,0,300
37000,0,300
38000,0,300
39000,0,300
40000,0,300
41000,0,300
42000,0,300
43000,0,300
44000,0,300
45000,0,300
46000,0,300
47000,0,300
48000,0,300
49000,0,300
50000,0,300
51000,0,300
52000,0,300
53000,0,300
54000,0,300
55000,0,300
56000,0,300
57000,0,300
58000,0,300
59000,0,300
60000,0,300
61000,0,300
62000,0,300
63000,0,300
64000,0,300
65000,0,300
66000,0,300
67000,0,300
68000,0,300
69000,0,300
70000,0,300
71000,0,300
72000,0,300
73000,1,300
74000,1,300
75000,1,300
76000,1,300
77000,1,300
78000,1,300
79000,1,300
80000,1,300
81000,1,300
82000,2,253
83000,2,253
84000,2,253
85000,2,253
86000,2,253
87000,2,253
88000,2,253
89000,2,253
90000,2,253
91000,2,253
92000,2,253
93000,2,253
94000,2,253
95000,2,253
96000,2,253
97000,3,255
98000,3,255
99000,3,255
100000,3,255
101000,3,255
102000,3,255
103000,3,255
104000,3,255
105000,3,255
106000,3,255
107000,3,255
108000,3,255
109000,3,255
110000,4,229
111000,5,219
112000,5,219
113000,6,219
114000,6,219
115000,6,219
116000,6,219
117000,6,219
118000,7,164
119000,7,164
120000,7,164
121000,7,164
122000,7,164
123000,7,164
124000,7,164
125000,9,63
126000,9,63
127000,9,63
128000,9,63
129000,10,63
130000,10,63
131000,10,63
132000,10,63
133000,10,63
134000,10,63
135000,10,63
136000,10,63
137000,10,63
138000,10,63
139000,10,63
140000,10,63
141000,10,63
142000,10,63
143000,10,63
144000,10,63
145000,10,63
146000,10,63
147000,11,63
148000,11,63
149000,11,63
150000,11,63
151000,11,63
152000,11,63
153000,12,63
154000,12,63
155000,12,63
156000,12,63
157000,12,63
158000,12,63
159000,12,63
160000,12,63
161000,12,63
162000,12,63
163000,12,63
164000,12,63
165000,12,63
166000,12,63
167000,12,63
168000,12,63
169000,12,63
170000,12,63
171000,12,63
172000,12,63
173000,12,63
174000,12,63
175000,12,63
176000,12,63
177000,12,63
178000,12,63
179000,12,63
180000,12,63
181000,12,63
182000,12,63
183000,12,63
184000,12,63
185000,12,63
186000,12,63
187000,12,63
188000,12,63
189000,12,63
190000,12,63
191000,12,63
192000,12,63
193000,12,63
194000,12,63
195000,12,63
196000,12,63
197000,12,63
198000,12,63
199000,12,63
200000,12,63
